time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR
2020-08-07 02:00,19.6,735.7,756.1,0.0,91.0,从北方吹来的风,1,,9.0,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,19.1,29.4,,,,,,12.0,18.1,,12.0
2020-08-07 05:00,17.0,736.2,756.7,0.5,99.0,从西南偏西方向吹来的风,1,,7.0,,薄雾 ,,,16.8,29.4,,,,,,6.0,16.8,,12.0
2020-08-07 08:00,22.4,736.3,756.7,0.1,81.0,从西北偏北方向吹来的风,0,,6.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.8,29.4,,,,,,12.0,19.0,,12.0
2020-08-07 11:00,25.7,735.7,756.1,-0.6,56.0,从北方吹来的风,2,,6.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.8,29.4,,,,,,19.0,16.3,,12.0
2020-08-07 14:00,27.0,734.7,755.1,-1.0,50.0,从东北偏东方向吹来的风,2,,6.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.8,29.4,,,,,,20.0,15.7,,12.0
2020-08-07 17:00,27.1,733.9,754.4,-0.8,49.0,从东北偏北方向吹来的风,3,,7.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.8,28.7,,,,,,19.0,15.5,,12.0
2020-08-07 20:00,23.9,734.2,754.6,0.3,67.0,从东北偏东方向吹来的风,2,,7.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.8,28.7,,,,,,18.0,17.4,,12.0
2020-08-07 23:00,22.2,733.9,754.3,-0.3,73.0,从东方吹来的风,1,,7.0,,云量发展情况没有进行观测或无法观测。 ,,,16.8,28.7,,,,,,15.0,17.1,,12.0
2020-08-08 02:00,18.4,732.7,753.1,-1.2,95.0,从北方吹来的风,0,,7.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.8,28.7,,,,,,12.0,17.6,,12.0
2020-08-08 05:00,19.7,732.1,752.4,-0.6,92.0,从东南偏东方向吹来的风,1,,,,薄雾 ,,,17.0,28.7,,,,,,4.4,18.4,,12.0
2020-08-08 08:00,25.4,731.7,751.9,-0.4,67.0,从东南方吹来的风,2,,4.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.0,28.7,,,,,,14.0,18.8,,12.0
2020-08-08 11:00,29.1,730.4,750.5,-1.3,54.0,从南方吹来的风,3,,6.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.0,29.1,,,,,,16.0,18.8,,12.0
2020-08-08 14:00,30.8,729.5,749.7,-0.9,43.0,从南方吹来的风,3,,7.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.0,31.5,,,,,,19.0,16.8,,12.0
2020-08-08 17:00,29.1,729.2,749.4,-0.3,54.0,从西南偏西方向吹来的风,3,,7.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.0,31.6,,,,,,15.0,18.8,,12.0
2020-08-08 20:00,25.3,729.2,749.3,0.0,75.0,从东南方吹来的风,1,,9.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.0,31.6,,,,,,11.0,20.6,,12.0
2020-08-08 23:00,24.7,729.4,749.3,0.2,81.0,从东南方吹来的风,2,,9.0,,云量发展情况没有进行观测或无法观测。 ,,,18.0,31.6,,,,,,12.0,21.2,,12.0
2020-08-09 02:00,24.9,728.8,748.7,-0.6,80.0,从西南偏南方向吹来的风,1,,9.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.0,31.6,,,,,,10.0,21.2,,12.0
2020-08-09 05:00,23.8,728.8,748.9,0.0,86.0,从南方吹来的风,2,,,,云量发展情况没有进行观测或无法观测。 ,,,19.6,31.6,,,,,,9.0,21.3,,12.0
2020-08-09 08:00,25.2,728.5,748.6,-0.3,78.0,从东南方吹来的风,3,,9.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,23.5,,,,,,,13.0,21.1,,12.0
2020-08-09 11:00,27.5,727.9,748.0,-0.6,68.0,从西南偏南方向吹来的风,4,,9.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,23.5,31.6,,,,,,15.0,21.1,,12.0
2020-08-09 14:00,24.3,728.0,748.1,0.1,89.0,从西南偏西方向吹来的风,3,,8.0,,间歇性雨，不冻，在观测时较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,23.5,31.6,,,,,,11.0,22.4,0.1,12.0
2020-08-09 17:00,24.1,727.8,748.0,-0.2,84.0,从南方吹来的风,2,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,23.5,29.1,,,,,,15.0,21.2,0.3,12.0
2020-08-09 20:00,22.7,727.9,748.1,0.1,93.0,从西南偏南方向吹来的风,2,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.7,28.4,,,,,,13.0,21.5,0.4,12.0
2020-08-09 23:00,21.8,728.3,748.4,0.4,97.0,从南方吹来的风,2,,10.0,,云量发展情况没有进行观测或无法观测。 ,,,21.8,28.4,,,,,,11.0,21.3,0.4,12.0
2020-08-10 02:00,21.8,728.5,748.8,0.2,96.0,从南方吹来的风,3,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.7,28.4,,,,,,13.0,21.1,0.3,12.0
2020-08-10 05:00,21.4,729.0,749.2,0.5,97.0,从东南方吹来的风,2,,6.0,,云量发展情况没有进行观测或无法观测。 ,,,21.3,,,,,,,10.0,20.9,0.1,12.0
2020-08-10 08:00,24.4,729.6,749.8,0.6,86.0,从南方吹来的风,4,,8.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.3,28.4,,,,,,10.0,21.9,,12.0
2020-08-10 11:00,27.5,729.5,749.7,-0.1,73.0,从南方吹来的风,4,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.3,28.3,,,,,,9.0,22.2,,12.0
2020-08-10 14:00,29.2,729.1,749.2,-0.4,65.0,从西南偏西方向吹来的风,4,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.3,29.3,,,,,,12.0,21.9,0.6,12.0
2020-08-10 17:00,28.8,728.9,749.0,-0.2,65.0,从西南偏西方向吹来的风,5,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.3,29.9,,,,,,11.0,21.6,,
