date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48,T,U,Ff,ff10,VV,Td,VPD,RRR,Po,P,Pa,T_max,T_min
2020-08-07,0.1812155,0.2177312,0.1729453,0.1411282,22.08083,22.14167,21.88333,21.12833,10,48,23.1125,70.75,1.5,,15.125,16.9875,0.9376023740554217,0.0,735.075,755.5,-0.225,27.1,17.0
2020-08-08,0.1814922,0.2177348,0.1724748,0.1407014,22.59417,22.26688,21.65604,20.80417,10,48,25.3125,70.125,1.875,,12.925,18.875,1.1243183113421567,0.0,730.525,750.7,-0.5625,30.8,18.4
2020-08-09,0.1818115,0.2188987,0.1732135,0.1407901,23.30604,22.99479,22.19271,20.86979,10,48,24.2875,84.375,2.375,,12.125,21.3875,0.5006127056626115,1.2,728.25,748.35,-0.1375,27.5,21.8
2020-08-10,0.1812468,0.2186626,0.1731199,0.1408241,23.32667,22.96,22.18479,20.95187,10,48,25.475,79.375,3.125,,10.375,21.4125,0.7472451195898646,1.6,729.2875,749.45,0.21250000000000002,29.2,21.4
2020-08-11,0.1795212,0.2178842,0.1729726,0.1408246,22.77813,22.68104,22.14667,20.99042,10,48,24.8625,73.5,3.125,,11.125,19.625,0.8761502630859062,6.3,732.2625,752.4375,0.5625,29.6,22.0
2020-08-12,0.1782245,0.2168657,0.1722704,0.1404998,22.41604,22.29438,21.82125,20.85646,10,48,25.337500000000002,67.625,2.875,,13.9375,18.425,1.1119695636438596,3.0,736.8875,757.175,0.39999999999999997,29.0,23.1
2020-08-13,0.1768596,0.215097,0.1714784,0.1402653,21.19417,21.38875,21.29396,20.67521,10,48,22.52857142857143,87.71428571428571,3.4285714285714284,,10.714285714285714,20.271428571428572,0.3393426528859268,58.0,730.2428571428571,750.5142857142857,-1.04,24.0,20.2
2020-08-14,0.1920446,0.2190329,0.1713878,0.1397381,21.70375,21.52188,21.03292,20.33854,10,48,24.1875,73.625,4.0,,15.5,18.775,0.8898326666270329,11.0,726.8875,747.0125,0.4875,28.3,18.9
2020-08-15,0.1948559,0.2190757,0.1717324,0.1396215,21.67875,21.54667,21.06042,20.25604,10,48,22.8,75.0,2.375,,16.375,17.625,0.8136446664112922,0.0,732.5625,752.8875,0.5625,27.9,18.5
2020-08-16,0.1944061,0.2185825,0.1714027,0.1394258,21.68417,21.44563,20.92146,20.15187,10,48,24.4625,72.125,1.125,,12.625,18.35,1.0600897407324652,0.0,735.6375,755.9875,0.3,30.4,17.1
2020-08-17,0.193339,0.2211815,0.171646,0.1394072,21.76021,20.31104,21.16062,20.17687,10,48,23.7,85.0,2.25,,8.9125,20.9125,0.4405247949518555,12.7,735.925,756.2625,-0.375,25.9,22.3
2020-08-18,0.1984961,0.225123,0.1720239,0.1394749,22.65083,20.03521,21.40292,20.23333,10,48,25.7625,80.75,3.25,,9.5,21.8125,0.7301640126037936,20.0,734.525,754.7375,0.17500000000000002,29.9,20.2
2020-08-19,0.250375,0.2490385,0.1720912,0.1396891,20.55604,18.94542,21.06458,20.34104,10,48,18.7625,89.5,2.625,,10.0,16.875,0.218798116902254,65.5,738.05,758.725,0.7,20.1,16.6
2020-08-20,0.2469525,0.2537063,0.1701941,0.1385721,18.21438,16.91333,19.3,19.66813,10,48,18.275,63.25,2.5,,14.875,10.675,0.847355147669877,0.0,742.2875,763.2875,0.175,22.8,13.2
2020-08-21,0.2391268,0.2522681,0.1691336,0.1372386,17.70604,16.25521,18.36271,18.85687,10,48,19.2375,64.875,1.875,,13.75,11.75,0.923604377001696,0.0,741.65,762.525,-0.1875,25.0,13.1
2020-08-22,0.2318844,0.2490146,0.1685225,0.1373172,17.75167,16.595,17.98979,17.88,10,48,20.15,74.125,1.0,,11.625,14.5625,0.7949216346636794,0.0,738.2625,759.0,-0.6,26.2,12.3
2020-08-23,0.2276509,0.2458981,0.1691822,0.1401895,19.11583,18.88125,18.43042,16.35479,10,48,22.675,71.125,2.25,,10.75,16.65,0.8952278547374293,0.0,733.625,754.05,-0.44999999999999996,26.8,16.9
2020-08-24,0.2585326,0.2742262,0.1875554999999999,0.1432553,19.32646,19.38958,19.05813,16.58417,10,48,20.0,93.375,1.75,,5.5625,18.7625,0.17741663381718842,118.0,729.55,749.95,-0.4,22.8,18.7
2020-08-25,0.2809882,0.2999725,0.2246459,0.1494473,20.5725,20.11792,19.31729,16.67729,10,48,22.9125,84.875,2.125,,9.025,20.0125,0.49623991972647336,6.1,732.3375,752.7875,0.7,27.7,18.6
2020-08-26,0.274676,0.2951575,0.2313086,0.1542243,21.54479,21.11229,20.21708,17.0675,10,48,24.375,76.875,1.875,,11.5,19.65,0.7842929663720009,0.0,734.975,755.3125,-0.14999999999999997,27.8,20.7
2020-08-27,0.3000695,0.3152297,0.2613905,0.1771982,21.08937,21.12375,20.67604,17.54625,10,48,22.0375,98.625,3.125,,4.1625,21.775,0.04217651878791012,148.0,729.4,749.6625,-0.4875,22.7,21.1
2020-08-28,0.2971003,0.3146922,0.2729346,0.2321763,21.14604,20.95479,20.43188,17.68583,10,48,22.125,94.25,2.25,,8.325,21.125,0.16403694315371697,22.9,732.675,753.0875,0.65,24.5,20.5
2020-08-29,0.2872292,0.3063738,0.2667526,0.2305593,20.1,20.43125,20.33417,17.72229,10,48,18.0,91.0,2.375,,11.625,16.45,0.19722301375928086,0.0,737.2875,758.05,0.475,19.8,15.9
2020-08-30,0.2812363,0.3007374,0.2614552,0.226185,19.28125,19.39917,19.35104,17.33792,10,48,21.0125,81.375,1.875,,11.4875,17.5,0.5291700591751229,0.0,739.2625,760.0,0.037500000000000006,25.2,15.3
2020-08-31,0.2781998,0.2979628,0.2583666,0.222398,20.66771,20.26479,19.60146,17.13104,10,48,24.75,74.375,2.875,,10.25,19.7125,0.8587319871094856,0.0,736.5625,756.95,-0.525,28.7,20.2
2020-09-01,0.2821349,0.2999566,0.257812,0.2203674,21.71667,21.38667,20.54792,17.42729,10,48,22.8,82.5,2.375,,10.4125,19.425,0.5458508934488034,73.6,733.6,753.9125,-0.06249999999999999,26.2,18.4
2020-09-02,0.2764395,0.2964089,0.2554397,0.218786,20.93417,20.89938,20.46854,17.655,10,48,22.425,76.75,1.875,,11.125,17.875,0.6695000464149516,3.0,735.1125,755.55,0.125,25.6,20.6
2020-09-03,0.3050376,0.3180544,0.2738901,0.2369174,18.53125,19.12562,19.46979,17.50562,10,48,17.15,95.875,5.0,,5.65,16.4375,0.09232535352278887,275.0,726.5375,746.9875,-1.157142857142857,19.6,14.8
2020-09-04,0.3145088,0.3356469,0.2914575,0.2666014,16.34958,16.88854,17.53125,16.63396,10,48,17.075,84.25,5.0,,12.6625,14.2375,0.3387303559154098,138.0,730.5,751.3,1.1,19.6,14.3
2020-09-05,0.3023071,0.3286652,0.2863791,0.2612581,17.82104,17.6725,17.50875,16.08104,10,48,19.7875,75.75,3.125,,14.0,15.3375,0.576861754476548,18.1,735.75,756.425,0.475,23.8,17.6
2020-09-06,0.2915254,0.3213639,0.2815966,0.2553752,18.91417,18.61604,18.13979,16.11292,10,48,20.6875,77.875,1.75,,12.125,16.25,0.6522897261189329,6.0,737.8125,758.5,0.0625,26.5,16.4
2020-09-07,0.2860305,0.3171424,0.2787853,0.2517353,18.72792,18.7325,18.4725,16.29438,10,48,19.6125,88.125,3.25,,8.7375,17.475,0.30077610905118485,9.0,734.2875,754.8625,-1.0375,22.2,16.5
2020-09-08,0.3335376,0.3505821,0.2945783,0.2640237,17.30708,17.70187,17.96708,16.27479,10,48,16.025,99.0,6.0,,4.0,15.825,0.02313244387555219,254.0,727.4375,748.0375,-0.012500000000000004,16.4,15.6
2020-09-09,0.3284218,0.3478245,0.2959891,0.2693218,17.16979,17.29229,17.36042,15.91458,10,48,15.7,99.0,4.125,,3.3625,15.5,0.02271937858496728,187.0,730.4875,751.3,0.1875,16.8,15.2
2020-09-10,0.3113662,0.3356556,0.2887322,0.2631751,17.60396,17.64479,17.48396,15.75688,10,48,16.9375,96.0,2.625,,8.3875,16.25,0.08687378042500152,36.3,734.925,755.7875,1.0875,19.1,15.4
2020-09-11,0.3001342,0.3279925,0.2843182,0.2581292,17.31,17.42292,17.39688,15.70875,10,48,18.15,87.875,3.25,,11.875,15.950000000000001,0.2969101533653161,0.0,743.325,764.325,0.725,22.1,14.5
2020-09-12,0.2914733,0.3218884,0.2809326,0.2541294,16.85,17.07813,17.18396,15.61792,10,48,17.9875,85.0,2.25,,12.375,15.3375,0.33518871807379547,0.0,745.6125,766.65,-0.07499999999999998,21.1,14.5
2020-09-13,0.2889281,0.3180288,0.2787027,0.247208,17.27604,17.33667,17.1925,16.55292,10,48,17.25,81.5,1.75,,11.3125,13.6625,0.4416594334480901,0.0,742.875,763.8625,-0.4875,21.9,12.5
2020-09-14,0.2841378,0.314116,0.2767284,0.2427671,16.75708,16.95771,16.98812,17.10625,10,48,16.5,81.625,1.125,,9.825,12.85,0.444177755819531,0.0,740.3875,761.425,0.04285714285714286,21.7,9.9
2020-09-15,0.2788165,0.3115867,0.2752654,0.2406798,17.62062,17.46958,17.15125,17.04542,10,48,19.1625,75.5,2.125,,12.375,14.4375,0.6052516448366431,0.0,737.8,758.6125,-0.875,22.5,13.6
2020-09-16,0.2867296,0.3139611,0.2747784,0.2392246,17.04917,17.33792,17.33667,17.16833,10,48,18.225,66.25,3.625,,14.125,11.137500000000001,0.7352352491134901,23.0,730.225,750.775,-0.575,22.1,16.1
2020-09-17,0.2894536,0.3149297,0.2743255,0.2377038,14.43875,15.24,16.05458,16.85792,10,48,14.5375,70.625,3.875,,16.25,9.1625,0.48970983717669186,13.0,730.7,751.5125,0.32499999999999996,16.1,13.6
2020-09-18,0.2992482,0.319883,0.2747788,0.2364824,14.32896,14.76042,15.22583,16.15292,10,48,13.875,82.25,3.375,,15.625,10.8125,0.2998255842876547,12.0,733.7,754.7375,0.4875,16.3,10.9
2020-09-19,0.2985905,0.3198335,0.2748129,0.2361286,14.27562,14.66896,15.03583,15.75604,10,48,12.775,94.75,1.25,,10.375,11.925,0.08074982200397751,20.6,738.1625,759.35,0.6,14.2,10.2
2020-09-20,0.2950787,0.3172022,0.2736636,0.2354918,13.78563,14.17083,14.59458,15.42667,10,48,12.475,87.875,1.625,,11.4625,10.35,0.20230886545937843,0.4,742.1375,763.525,0.375,15.5,9.0
2020-09-21,0.2903853,0.3141511,0.2723858,0.2345758,13.58625,13.93354,14.31792,15.11979,10,48,13.2125,84.25,1.25,,11.075,10.35,0.2807263105732468,0.0,743.6375,765.025,-0.07142857142857142,16.8,9.9
2020-09-22,0.2863653,0.3114235,0.2713535,0.2335278,13.98104,14.14917,14.30396,14.9225,10,48,13.0625,94.75,1.5,,7.0375,12.25,0.07728708611237228,20.0,742.9625,764.325,0.08750000000000001,14.5,10.0
2020-09-23,0.2830811,0.3096269,0.2705981,0.232636,14.24896,14.46604,14.51833,14.87625,10,48,13.85,84.375,1.0,,6.225,10.7125,0.33170717069529926,0.4,744.0,765.35,-0.08750000000000001,19.8,10.0
2020-09-24,0.2788575,0.3074081,0.2694937,0.2316453,14.29458,14.31125,14.31083,14.76562,10,48,15.425,84.5,1.375,,5.9625,12.6125,0.32741503578996767,0.0,742.4125,763.5625,-0.15000000000000002,20.3,8.9
2020-09-25,0.2754501,0.3063242,0.2691072,0.2309081,15.61521,15.43542,15.02938,14.88,10,48,16.15,84.625,0.875,,6.8125,13.1375,0.36879534169591155,0.0,742.4,763.525,0.15,22.0,12.0
2020-09-26,0.2703852,0.3039251,0.2682962,0.2303602,15.50875,15.47521,15.25458,15.11271,10,48,15.7375,79.125,0.875,,7.875,11.15,0.5290358371229742,0.0,743.55,764.725,0.024999999999999984,22.5,9.9
2020-09-27,0.2653362,0.3014835,0.2673184,0.2296252,15.61083,15.52292,15.31229,15.22292,10,48,18.8875,66.0,3.0,,10.425,11.7875,0.8437201774814298,0.0,741.625,762.5875,-0.35,24.3,13.6
2020-09-28,0.2621092,0.2995846,0.2666506,0.2290335,15.68771,15.83938,15.69292,15.40771,10,48,15.0375,84.875,2.875,,7.5125,12.2,0.28652332472908426,1.6,740.1125,761.1,0.025,18.9,10.1
2020-09-29,0.2612968,0.2973189,0.2649631,0.2278757,12.83354,13.66333,14.48438,15.17979,10,48,10.133333333333333,79.5,2.0,,9.285714285714286,5.966666666666666,0.3203187769430444,2.0,740.4428571428572,761.9499999999999,-0.13333333333333333,15.1,4.8
2020-09-30,0.2561628,0.2946315,0.2632401,0.2261478,11.70083,12.37021,13.21875,14.45833,10,48,9.4375,70.75,1.5,,8.1,3.075,0.47613356985996225,0.0,741.0,762.8000000000001,-0.08750000000000001,16.0,2.8
2020-10-01,0.2519045,0.29183,0.2617337,0.224684,10.75792,11.45458,12.38667,13.83708,10,48,10.0625,79.125,2.0,,8.8625,6.3875,0.2995826668021898,0.4,737.7125,759.2,-0.5874999999999999,13.4,3.5
2020-10-02,0.2576514,0.2937595,0.2614888,0.2235601,12.13542,12.35583,12.56729,13.38979,10,48,12.9375,65.875,4.125,,12.75,6.025,0.5441044764001374,2.8,735.8625,757.0375,0.375,15.9,9.4
2020-10-03,0.2523228,0.2916606,0.2606364,0.222753,10.92708,11.47646,12.13646,13.20083,10,48,11.4375,55.5,3.125,,15.375,2.15,0.6682848559895579,0.0,738.1625,759.5125,-0.35,16.9,6.6
2020-10-04,0.258328,0.2908926,0.2596019,0.2217721,9.67771,10.54417,11.53188,12.87729,10,48,8.075,81.625,4.25,,13.5,4.8125,0.21859025954048492,12.1,735.6125,757.025,0.1625,11.9,6.0
2020-10-05,0.2676643,0.2953782,0.259434,0.2206973,9.37042,9.96271,10.78833,12.29292,10,48,8.1125,75.5,3.25,,14.25,3.4375,0.3146932450608318,1.2,741.225,762.9375,0.8250000000000001,13.0,2.7
2020-10-06,0.2624997,0.2940427,0.2590614,0.2199975,9.04125,9.67625,10.4475,11.85917,10,48,6.925,70.375,2.0,,11.25,0.6124999999999999,0.3966933840335105,0.0,745.0,766.8875,0.3125,14.0,1.5
2020-10-07,0.2574029,0.2916853,0.2581728,0.2192408,8.31958,8.91313,9.79021,11.42917,10,48,7.8875,73.625,0.75,,9.75,2.5625,0.40280636649375656,0.0,747.5500000000001,769.4625,0.3625,16.6,1.2
2020-10-08,0.2543546,0.2906192,0.2577478,0.2186054,9.08625,9.30833,9.77729,11.11563,10,48,12.55,66.625,2.25,,7.375,6.0625,0.5820544586777242,0.0,749.025,770.7375,,18.9,1.9
2020-10-09,0.2530943,0.2906604,0.25804,0.2184603,11.11542,10.96521,10.76687,11.24146,10,48,16.3875,42.25,2.625,,11.25,2.7875,1.124727343078691,0.0,744.95,766.1625,-0.45,20.5,13.0
2020-10-10,0.2512567,0.2903649,0.2582945,0.2185828,12.4,12.12583,11.67104,11.63229,10,48,16.525,61.625,3.25,,9.5,8.6625,0.7665914758698482,0.0,741.7125,762.775,-0.4125,20.9,13.6
2020-10-11,0.2509373,0.2885617,0.2577374,0.2187113,10.26396,11.12896,11.71438,12.03979,10,48,9.3625,85.75,2.375,,10.625,7.0874999999999995,0.17528601548975586,7.7,740.7875,762.1375,0.3125,15.1,3.2
2020-10-12,0.2508188,0.2864268,0.2556303,0.2174596,6.87375,8.04667,9.555,11.415,10,48,5.8375,49.875,2.125,,15.0,-5.1,0.5258852696688152,0.0,742.7625,764.7125,-0.11249999999999999,11.0,0.2
2020-10-13,0.2472837,0.2845898,0.2545153,0.2161561,5.76396,6.93583,8.42333,10.54646,10,48,5.75,42.375,4.5,,14.25,-6.45,0.5459050750545724,0.0,743.2875,765.1375,0.775,9.7,0.2
2020-10-14,0.2443225,0.2828121,0.2532585,0.2149779,4.155,5.42875,7.14938,9.67229,10,48,1.85,46.125,2.625,,17.0,-9.225,0.4057727124605437,0.0,748.875,771.2625,-0.06250000000000001,6.3,-2.7
2020-10-15,0.2419595,0.2820207,0.2524063,0.2139008,4.49896,5.25292,6.44333,8.85417,10,48,7.5,35.875,3.125,,14.125,-7.1125,0.7030230245668562,0.0,745.375,767.325,-0.425,13.0,2.6
2020-10-16,0.2417489,0.2818852,0.2522283,0.213279,5.17437,5.77896,6.64688,8.51083,10,48,7.2875,42.5,3.25,,13.375,-5.2625,0.6158943276401895,0.0,743.65,765.45,-0.21250000000000002,11.1,4.6
2020-10-17,0.2405953,0.2818729,0.2520893,0.2129095,6.20625,6.46479,6.91625,8.38688,10,48,10.674999999999999,39.125,3.375,,13.875,-3.125,0.8314945165373129,0.0,741.1625,762.7,0.11250000000000002,16.7,6.7
2020-10-18,0.2384893,0.2804833,0.2518069,0.2127358,5.68875,6.39229,7.14458,8.46625,10,48,6.4375,44.875,1.875,,14.625,-6.0375,0.6025913642220079,0.0,745.475,767.3625,0.16250000000000003,12.0,-1.7
2020-10-19,0.2381363,0.2798661,0.251311,0.2123511,6.42292,6.65146,7.04604,8.34521,10,48,12.4125,36.625,3.375,,12.0,-2.5,0.9638747480472598,0.0,744.1625,765.75,-0.15,18.3,6.7
2020-10-20,0.2391338,0.2810405,0.2517836,0.2122968,8.715,8.34333,8.00167,8.525,10,48,14.875,55.125,3.5,,6.75,5.5125,0.8199328929591273,0.0,742.95,764.2,-0.675,19.9,10.1
2020-10-21,0.245782,0.2826712,0.2528059,0.2128311,9.24833,9.52062,9.37271,9.21396,10,48,9.15,70.75,3.375,,9.125,3.6875,0.3737315013002594,55.6,738.525,759.8625,0.062499999999999986,15.1,2.2
2020-10-22,0.243563,0.2800932,0.2511163,0.2123289,5.22792,6.35938,7.65938,9.13521,10,48,1.6625,57.75,2.125,,15.25,-6.275,0.32196527744142717,0.0,741.7,763.825,0.3375,6.5,-3.7
2020-10-23,0.2380418,0.2778555,0.2496907,0.2110379,3.13958,4.35187,5.99938,8.30104,10,48,-0.575,62.875,2.0,,17.75,-7.9125,0.2726582654134412,0.0,742.5,764.875,-0.0375,5.8,-6.1
2020-10-24,0.2369591,0.2772583,0.2488477,0.2097829,3.02875,3.83146,5.09604,7.42813,10,48,3.0375,51.625,2.875,,16.25,-6.925,0.44140161648944976,0.0,741.6375,763.8625,-0.2,9.5,-6.4
2020-10-25,0.2381566,0.2774524,0.2485957,0.2091492,3.63062,4.18854,5.06083,6.96604,10,48,5.8625,48.375,1.75,,10.625,-5.0125,0.5384339145669139,0.0,742.5375,764.4375,0.39999999999999997,13.3,-0.6
2020-10-26,0.2383875,0.2774479,0.2483915,0.2087386,4.22208,4.55667,5.18854,6.80708,10,48,7.625,61.25,1.875,,8.7125,-1.0125000000000002,0.5273232166271891,0.0,742.3375,764.1875,-0.3375,14.6,-2.8
2020-10-27,0.2376524,0.2775218,0.2484932,0.2086343,4.52625,5.09292,5.68333,6.88292,10,48,4.7875,45.625,2.875,,13.25,-6.8125,0.49412924416890874,0.0,745.1625,767.075,0.6125,9.5,0.8
2020-10-28,0.231659,0.275346,0.2475803,0.2082198,2.70333,3.67417,4.90292,6.74104,10,48,1.125,43.125,2.375,,14.25,-10.9625,0.4133296385280292,0.0,747.1125,769.4625,0.2125,6.8,-3.7
2020-10-29,0.2265351,0.273601,0.2466034,0.2074557,1.80917,2.75271,4.07146,6.23542,10,48,0.8500000000000001,52.375,1.375,,12.375,-8.6375,0.35471337907824474,0.0,749.15,771.6625,0.275,7.3,-3.4
2020-10-30,0.2245675,0.2729171,0.2459564,0.2067508,2.01604,2.61771,3.63125,5.735,10,48,4.55,50.0,2.125,,12.0,-6.375,0.5151928772519753,0.0,748.325,770.6375,-0.725,10.7,-4.3
2020-10-31,0.2314874,0.275184,0.246469,0.2064983,4.46729,4.43167,4.45771,5.63958,10,48,9.65,49.5,4.375,,8.625,-0.8125,0.590521996361407,4.2,738.5875,760.125,-0.8,13.1,6.2
2020-11-01,0.2303496,0.2749506,0.2466743,0.2066315,3.97854,4.49667,4.98542,5.98896,10,48,4.85,44.125,4.125,,15.75,-6.5875,0.49806398818575454,0.0,740.125,761.875,0.525,8.0,0.7
2020-11-02,0.2243486,0.2727398,0.2457561,0.2062945,1.87146,2.93958,4.18333,5.90437,10,48,0.625,42.875,4.25,,17.625,-10.8625,0.3764137401805713,0.0,742.05,764.275,0.0125,4.6,-2.5
2020-11-03,0.2054089,0.2673253,0.2444017,0.2054419,0.165,1.38625,2.95083,5.33104,10,48,-3.7,43.5,3.125,,22.625,-14.7875,0.27465138753865403,0.0,743.225,765.875,0.1875,0.0,-6.9
2020-11-04,0.1797026,0.2525654,0.243289,0.2045011,-0.37229,0.66375,2.10125,4.63438,10,48,0.3625,35.0,2.75,,17.875,-14.1125,0.45281035147908194,0.0,742.575,765.0875,-0.325,6.4,-7.4
2020-11-05,0.1910807,0.2540757,0.2426835,0.2037995,0.14604,0.68646,1.79979,4.11354,10,48,6.9125,59.125,2.875,,8.625,-1.0125,0.436078856926588,0.0,740.8125,762.675,-0.2375,12.4,3.0
2020-11-06,0.2178394,0.2683212,0.2434679,0.2035867,3.06896,2.73542,2.69083,4.0125,10,48,10.425,41.5,5.375,,10.5,-3.3625,0.7488063332367507,0.0,737.2,758.6,-0.22500000000000003,13.7,5.2
2020-11-07,0.216708,0.2693447,0.2440524,0.2039404,2.48625,2.92146,3.42437,4.51,10,48,3.2625,42.5,3.125,,13.5,-9.175,0.47830739892938423,0.0,739.25,761.175,0.5857142857142856,8.8,-1.1
2020-11-08,0.2114466,0.2674137,0.2436394,0.2039091,1.06062,2.02146,3.10396,4.61167,10,48,-1.55,42.25,3.625,,19.75,-13.0125,0.3262417055133099,0.0,745.3375,767.8,0.425,2.3,-3.5
2020-11-09,0.1813271,0.2565846,0.2425872,0.2033124,-0.33646,0.83312,2.14375,4.22687,10,48,-4.8625,49.5,2.125,,22.5,-14.3875,0.23537109086016786,0.0,746.65,769.5,0.375,-0.1,-9.7
2020-11-10,0.1602527,0.2295586,0.2412549,0.2026704,-0.70375,0.18979,1.47167,3.71438,10,48,0.9499999999999998,45.75,2.75,,16.875,-9.875,0.3951213380421911,0.0,747.8125,770.5,-0.1375,6.5,-9.4
2020-11-11,0.1883083,0.2429577,0.2407846,0.2021543,0.62438,0.56688,1.35771,3.34708,10,48,8.9375,54.25,3.25,,8.875,-0.22499999999999998,0.5720131128867038,0.0,746.55,768.4625,-0.35,14.5,3.8
2020-11-12,0.2152164,0.2658339,0.2422829,0.2021683,3.38083,2.98,2.63167,3.46667,10,48,9.1,52.5,4.0,,9.75,-0.6124999999999999,0.574627656450653,0.0,744.6375,766.2875,0.575,13.5,2.8
2020-11-13,0.2102254,0.2657128,0.2426893,0.2026486,1.82458,2.4575,3.05979,4.03208,10,48,2.0625,57.625,1.375,,14.0,-6.0125,0.34211649942510025,0.0,751.8,774.2,0.225,8.1,-4.2
2020-11-14,0.2039476,0.2631138,0.24201,0.2028083,1.12479,1.74479,2.55354,4.00458,10,48,6.275,39.0,2.75,,11.25,-8.075,0.657773727225006,0.0,747.9,770.0625,-0.75,12.6,-1.5
2020-11-15,0.2092936,0.2639482,0.2420789,0.2027088,2.02771,2.36583,2.74396,3.90375,10,48,6.0875,61.875,3.625,,8.25,-1.05,0.38121465633129353,0.0,746.375,768.275,0.7125,10.8,0.2
2020-11-16,0.2002274,0.2615162,0.241654,0.2025857,0.64208,1.41979,2.37187,3.89229,10,48,1.4625,61.625,1.625,,10.7875,-6.4125000000000005,0.3211522251660348,0.0,750.3375,772.85,-0.5375,6.9,-5.6
2020-11-17,0.2096314,0.2631152,0.241703,0.202229,2.34,2.30875,2.47292,3.69417,10,48,7.8125,74.0,3.625,,4.425,3.175,0.27436694177708654,4.4,743.2625,765.15,-0.35000000000000003,12.1,3.8
2020-11-18,0.2200787,0.2656813,0.242144,0.2024403,1.68708,2.3475,2.97729,3.94729,10,48,0.36249999999999993,100.0,4.375,,3.925,0.36249999999999993,0.0,21.6,741.475,763.5875,-1.1875,3.4,-1.1
2020-11-19,0.2157271,0.2642877,0.2416436,0.2021979,0.64313,1.32333,2.2025,3.76687,10,48,-5.1625,98.125,3.375,,16.0125,-5.4125000000000005,0.006900167481050538,96.0,734.0125,756.4625,0.7,-0.7,-7.4
2020-11-20,0.21514,0.2635747,0.2413278,0.2017386,0.6375,1.15833,1.89063,3.46688,10,48,-9.0375,89.0,1.75,,27.625,-10.5625,0.03580915983519184,15.2,746.3625,769.575,1.175,-7.0,-10.8
2020-11-21,0.2136995,0.2634716,0.2411735,0.2014965,0.6225,1.11875,1.7725,3.28083,10,48,-7.1,91.125,1.875,,17.875,-8.337499999999999,0.03312675432039438,0.0,749.0875,772.3625,-0.03750000000000002,-6.0,-8.8
2020-11-22,0.2088282,0.2630264,0.2410378,0.2013413,0.56979,1.05563,1.685,3.14708,10,48,-11.1125,84.625,1.75,,24.5,-13.3,0.04577346694950045,0.0,749.0625,772.5375,-0.037500000000000006,-7.3,-15.0
2020-11-23,0.2026997,0.2611341,0.2408303,0.2011686,0.4175,0.94208,1.56312,3.02812,10,48,-7.8625,76.125,4.0,,29.75,-11.35,0.0832631971441962,0.0,747.7125,771.0125,0.08749999999999998,-5.1,-11.4
2020-11-24,0.1995135,0.2538965,0.2403223,0.2008912,0.28292,0.83667,1.45458,2.90958,10,48,-4.8625,78.125,2.5,,17.0,-8.15,0.09715573895285831,0.0,748.45,771.4625,-0.275,-3.0,-8.0
2020-11-25,0.1986326,0.2480823,0.2396512,0.2006094,0.29104,0.78313,1.36563,2.80417,10,48,-5.7375,87.125,2.375,,11.125,-7.6375,0.05708172045879199,0.0,748.2,771.15,0.6,-3.3,-10.7
2020-11-26,0.1953371,0.2435571,0.2389542,0.2003801,0.13167,0.69396,1.30396,2.71521,10,48,-8.925,92.25,0.875,,8.45,-10.0125,0.029119311592584893,0.0,753.15,776.6,0.11250000000000002,-3.8,-12.5
2020-11-27,0.1880162,0.2369708,0.23628,0.200124,-0.23146,0.45313,1.17667,2.61958,10,48,-11.4625,81.125,2.0,,18.375,-14.25,0.05502455190691441,0.0,751.7875,775.4375,-0.225,-7.6,-15.6
2020-11-28,0.1770935,0.231758,0.2311718,0.1997831,-0.57729,0.18542,0.99375,2.49562,10,48,-12.0875,82.25,1.75,,23.75,-14.6,0.04775546943627323,0.0,750.9625,774.65,-0.2125,-8.4,-14.8
2020-11-29,0.1688429,0.2245818,0.2269138,0.1992199,-0.82021,-0.0475,0.81167,2.36854,10,48,-11.325,84.875,2.5,,17.375,-13.4375,0.04333864651505255,0.0,749.9875,773.6,0.25,-7.6,-15.8
