date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48
2020-08-07,0.1812155,0.2177312,0.1729453,0.1411282,22.08083,22.14167,21.88333,21.12833,10,48
2020-08-08,0.1814922,0.2177348,0.1724748,0.1407014,22.59417,22.26688,21.65604,20.80417,10,48
2020-08-09,0.1818115,0.2188987,0.1732135,0.1407901,23.30604,22.99479,22.19271,20.86979,10,48
2020-08-10,0.1812468,0.2186626,0.1731199,0.1408241,23.32667,22.96,22.18479,20.95187,10,48
2020-08-11,0.1795212,0.2178842,0.1729726,0.1408246,22.77813,22.68104,22.14667,20.99042,10,48
2020-08-12,0.1782245,0.2168657,0.1722704,0.1404998,22.41604,22.29438,21.82125,20.85646,10,48
2020-08-13,0.1768596,0.215097,0.1714784,0.1402653,21.19417,21.38875,21.29396,20.67521,10,48
2020-08-14,0.1920446,0.2190329,0.1713878,0.1397381,21.70375,21.52188,21.03292,20.33854,10,48
2020-08-15,0.1948559,0.2190757,0.1717324,0.1396215,21.67875,21.54667,21.06042,20.25604,10,48
2020-08-16,0.1944061,0.2185825,0.1714027,0.1394258,21.68417,21.44563,20.92146,20.15187,10,48
2020-08-17,0.193339,0.2211815,0.171646,0.1394072,21.76021,20.31104,21.16062,20.17687,10,48
2020-08-18,0.1984961,0.225123,0.1720239,0.1394749,22.65083,20.03521,21.40292,20.23333,10,48
2020-08-19,0.250375,0.2490385,0.1720912,0.1396891,20.55604,18.94542,21.06458,20.34104,10,48
2020-08-20,0.2469525,0.2537063,0.1701941,0.1385721,18.21438,16.91333,19.3,19.66813,10,48
2020-08-21,0.2391268,0.2522681,0.1691336,0.1372386,17.70604,16.25521,18.36271,18.85687,10,48
2020-08-22,0.2318844,0.2490146,0.1685225,0.1373172,17.75167,16.595,17.98979,17.88,10,48
2020-08-23,0.2276509,0.2458981,0.1691822,0.1401895,19.11583,18.88125,18.43042,16.35479,10,48
2020-08-24,0.2585326,0.2742262,0.18755549999999999,0.1432553,19.32646,19.38958,19.05813,16.58417,10,48
2020-08-25,0.2809882,0.2999725,0.2246459,0.1494473,20.5725,20.11792,19.31729,16.67729,10,48
2020-08-26,0.274676,0.2951575,0.2313086,0.1542243,21.54479,21.11229,20.21708,17.0675,10,48
2020-08-27,0.3000695,0.3152297,0.2613905,0.1771982,21.08937,21.12375,20.67604,17.54625,10,48
2020-08-28,0.2971003,0.3146922,0.2729346,0.2321763,21.14604,20.95479,20.43188,17.68583,10,48
2020-08-29,0.2872292,0.3063738,0.2667526,0.2305593,20.1,20.43125,20.33417,17.72229,10,48
2020-08-30,0.2812363,0.3007374,0.2614552,0.226185,19.28125,19.39917,19.35104,17.33792,10,48
2020-08-31,0.2781998,0.2979628,0.2583666,0.222398,20.66771,20.26479,19.60146,17.13104,10,48
2020-09-01,0.2821349,0.2999566,0.257812,0.2203674,21.71667,21.38667,20.54792,17.42729,10,48
2020-09-02,0.2764395,0.2964089,0.2554397,0.218786,20.93417,20.89938,20.46854,17.655,10,48
2020-09-03,0.3050376,0.3180544,0.2738901,0.2369174,18.53125,19.12562,19.46979,17.50562,10,48
2020-09-04,0.3145088,0.3356469,0.2914575,0.2666014,16.34958,16.88854,17.53125,16.63396,10,48
